SP30,SP10,P,SP60
145.2081618,17.04250398,412.2,489.7450016
108.429691,14.46076458,381.2,353.1749857
88.76538386,13.97395349,271.3,251.8856961
11.29645747,1.847543804,308,5.277668047
115.735833,14.41349474,362.5,386.6594967
45.48315387,8.036604014,327.1,19.61225868
26.48100669,4.27264734,308.2,81.88782414
117.2445492,15.03702453,339,415.5047594
82.07617713,10.66331316,920.4,248.0613316
119.291373,16.48118509,738.2,413.3686142
86.92937244,12.87538707,737.2,238.6241096
84.19523416,11.44706595,467.2,224.4975215
56.18546033,8.392768397,570.7,136.909143
19.40429436,2.558400765,410.2,73.88762027
96.06265693,12.22052883,378.4,212.4147562
110.0218604,13.79002867,542.7,375.3708952
46.24025485,7.034972921,197.8,143.7526219
81.50131252,10.90921313,234.5,200.5791398
5.200388659,0.895348837,285.2,11.21474355
110.5523988,15.65148773,470,363.9216565
82.00220453,14.00135075,500.4,251.8715896
41.70086015,7.044523734,464,131.1447085
80.34162472,11.51468621,675.7,233.9051545
54.75404268,8.650532016,316.6,157.4193182
73.11882128,11.91022619,304.2,245.8824084
66.55578847,11.92191144,483.7,111.0518764
24.87499841,6.967868748,152.3,60.92995221
86.50046515,12.20869067,212.3,284.9442243
95.70816181,13.06131252,204.5,312.0992799
13.50720612,7.186849315,373.8,18.19244346
29.45803122,6.991487734,429.1,57.63062122
109.9750111,14.74029309,420.8,373.4195476
84.32964641,15.52162472,372,236.2741892
0.019114368,0.983287671,328.9,84.77657853
90.00841036,11.68858235,378.8,293.6466901
38.49171074,10.28317936,172.9,109.2503472
51.07338006,6.760930233,399.3,130.0229245
26.85350748,8.383861101,298.9,98.38065626
37.653259,9.805186364,272,91.92699585
87.50419882,13.22115961,267.2,246.3913476
87.26205797,11.46948073,359.1,244.0158521
107.7558713,16.63176171,301.6,318.3156164
103.830411,15.87657216,348.3,307.9528384
